4 90
EB_nmr_UH_x3723.cnx	EB_nmr_UH_x3724.cnx	EB_nmr_UH_x3725.cnx	EB_nmr_UH_x3726.cnx
2-Aminoadipate	2.2	2.2	1.1	1.4
2-Aminobutyrate	0.5	0.5	0.5	0.5
2-Hydroxyglutarate	0	0	0	0
2-Hydroxyvalerate	8.5	9.7	8.3	5.1
2-Oxobutyrate	0	0	0	0
2-Oxoglutarate	0.2	0.2	0.2	0.2
2-Phosphoglycerate	8.1	8.1	8.1	8.1
3-Methyl-2-oxovalerate	0	0	0	0
4-Aminobutyrate	1.8	0.9	1.8	1.3
5-Hydroxylysine	0	0	0	0
Acetamide	0	0	0	0
Acetate	0	0	0	0
Adenine	0	0	0	0
Adenosine	0	0	0	0
ADP	1.7	1.7	1.5	1.3
Alanine	1.8	1.6	1.3	1.1
Alloisoleucine	0	0	0	0
AMP	0.7	0.6	0.6	0.7
Anserine	0.4	0.4	0.4	0.4
Arginine	0.5	0.5	0.5	0.5
Ascorbate	1.2	1.2	1.2	0.8
Asparagine	3.5	1.1	3.5	1.1
Aspartate	1.1	1.1	1.1	1.1
ATP	0.5	0.6	0.5	1.5
Butanone	1.2	0.8	0.7	0.7
Caprate	2.6	1.6	1.3	1.2
Carnitine	0.5	0.2	0.3	0.2
Carnosine	0	0	0	0
Choline	0.8	0.7	0.7	0.6
Citrate	1	0.5	0.6	0.6
Citrulline	0	0	0	0
Creatine	0.4	0.2	0.4	0.2
Creatine-phosphate	1.1	0.2	0.2	0.3
Creatinine	1.5	0.5	0.6	0.3
Cytidine	0	0	0	0
Cytosine	0	0	0	0
Ethanol amine	4.5	3.3	1.3	0.5
Fumarate	0	0	0	0
Glutamate	0	0	0	0
Glutamine	0	0	0	0
Glutarate	0	0	0	0
Glutaric-acid-monomethyl-ester	0	0	0	0
Glutathione	0	0	0	0
Glycerol	0	0	0	0
Glycine	1.1	1.1	0.8	0.9
Histidine	0	0	0	0
Homoserine	0	0	0	0
I-Methylhistidine	0	0	0	0
II-Methylhistidine	0.5	0.1	0.7	0.3
I-Alanine	0.3	0.3	0.3	0.3
Imidazole	0	0	0	0
Isocitrate	0	0	0	0
Isoleucine	1	0.8	0.6	0.5
Lactate	7.1	5.7	6.4	4.6
Leucine	2.5	1.9	1.7	1.1
Lysine	2.7	1.7	1.4	0.8
Malate	0	0	0	0
Maltose	0	0	0	0
Mannitol	1.5	1.5	1.5	1.2
Methionine	1.4	0.8	0.7	0.8
myo-Inositol	0.8	0.8	1	0.8
N-Acetylaspartate	0	0	0	0
N-Acetylcysteine	2.7	0	0	0
N-Acetylglutamate	1.5	0	0	0
N-Acetylglycine	1.1	1.1	1	0.3
N-Carbamoylaspartate	1.1	0.9	1.1	0.7
Nicotinic_ac_adenine_dinuc	0	0	0	0
Nicotinurate	0	0	0	0
N-Phenylacetylphenylalanine	0.2	0.2	0.2	0.2
O-Phosphocholine	0.9	0.9	0.8	0.7
O-Phosphoethanolamine	0	0	0	0
Ornithine	2.6	1.5	1.6	1.3
Phenylalanine	0.3	0.3	0.3	0.7
Putrescine	0	0	0	0
Pyruvate	1.7	1.1	1.1	1.2
Serine	7.3	4.6	4.4	4.2
sn-Glycero-3-phosphocholine	0.3	0.3	0.3	0.2
Tartrate	0	0	0	0
Taurine	1	1.1	0.6	1
Threonate	0.1	0.1	0.1	0.1
Threonine	2.4	2	1.1	1.6
Tryptophan	0	0	0	0
Tyrosine	0	0	0	0
UDP-galactose	0	0	0	0
UDP-glucose	0.3	0.3	0.7	0.3
Uridine	0	0	0	0
Valine	0.8	0.7	0.6	0.3
NAD+	0	0	0	0
NADH	0	0	0	0
NADPH	0	0	0	0
