7 90
EB_nmr_UH_x3723.cnx	EB_nmr_UH_x3724.cnx	EB_nmr_UH_x3725.cnx	EB_nmr_UH_x3726.cnx	Rosette_nmr_UH_x3748.cnx	Rosette_nmr_UH_x3750.cnx	Rosette_nmr_UH_x3751.cnx
2-Aminoadipate	2.2	2.2	1.1	1.4	0	0	0
2-Aminobutyrate	0.5	0.5	0.5	0.5	0	0	0
2-Hydroxyglutarate	0	0	0	0	0	0	0
2-Hydroxyvalerate	8.5	9.7	8.3	5.1	0	0	0
2-Oxobutyrate	0	0	0	0	0.5	1.2	1.5
2-Oxoglutarate	0.2	0.2	0.2	0.2	0	0	0
2-Phosphoglycerate	8.1	8.1	8.1	8.1	0	0	0
3-Methyl-2-oxovalerate	0	0	0	0	0.6	0.9	0.9
4-Aminobutyrate	1.8	0.9	1.8	1.3	2.7	4.9	5.4
5-Hydroxylysine	0	0	0	0	9.7	12.3	17.8
Acetamide	0	0	0	0	0	0	0
Acetate	0	0	0	0	0.7	1	1.2
Adenine	0	0	0	0	0	0	0
Adenosine	0	0	0	0	0	0	0
ADP	1.7	1.7	1.5	1.3	2	2	1.7
Alanine	1.8	1.6	1.3	1.1	1.5	3.4	4.4
Alloisoleucine	0	0	0	0	1.5	1.3	1.3
AMP	0.7	0.6	0.6	0.7	0.7	1	1.4
Anserine	0.4	0.4	0.4	0.4	0	0	0
Arginine	0.5	0.5	0.5	0.5	1	1.9	0.4
Ascorbate	1.2	1.2	1.2	0.8	0	0	0
Asparagine	3.5	1.1	3.5	1.1	0	0	0
Aspartate	1.1	1.1	1.1	1.1	0	0	0
ATP	0.5	0.6	0.5	1.5	0.5	0.4	0.4
Butanone	1.2	0.8	0.7	0.7	0	0	0
Caprate	2.6	1.6	1.3	1.2	0	0	0
Carnitine	0.5	0.2	0.3	0.2	0.2	0.5	0.5
Carnosine	0	0	0	0	0	0	0
Choline	0.8	0.7	0.7	0.6	0.7	1.4	1.7
Citrate	1	0.5	0.6	0.6	0.9	1	0.8
Citrulline	0	0	0	0	0	0	0
Creatine	0.4	0.2	0.4	0.2	0	0	0
Creatine-phosphate	1.1	0.2	0.2	0.3	0	0	0
Creatinine	1.5	0.5	0.6	0.3	0	0	0
Cytidine	0	0	0	0	0	0	0
Cytosine	0	0	0	0	1.2	1.7	2.1
Ethanolamine	4.5	3.3	1.3	0.5	0	0	0
Fumarate	0	0	0	0	0	0	0
Glutamate	0	0	0	0	3.8	5	8.1
Glutamine	0	0	0	0	1.5	1.5	1.5
Glutarate	0	0	0	0	0	0	0
Glutaric-acid-monomethyl-ester	0	0	0	0	0	0	0
Glutathione	0	0	0	0	0	0	0
Glycerol	0	0	0	0	9.3	8.5	8.5
Glycine	1.1	1.1	0.8	0.9	1.5	1.5	1.5
Histidine	0	0	0	0	0	0	0
Homoserine	0	0	0	0	2.6	3.3	2.8
I-Methylhistidine	0	0	0	0	0	1.2	1
II-Methylhistidine	0.5	0.1	0.7	0.3	0	0	0
I-Alanine	0.3	0.3	0.3	0.3	0	0	0
Imidazole	0	0	0	0	0	0	0
Isocitrate	0	0	0	0	1.7	1.7	1.2
Isoleucine	1	0.8	0.6	0.5	1	2.3	2.6
Lactate	7.1	5.7	6.4	4.6	4.2	10.1	11.2
Leucine	2.5	1.9	1.7	1.1	2	5.4	5.8
Lysine	2.7	1.7	1.4	0.8	2.3	4.9	5.9
Malate	0	0	0	0	0	0	0
Maltose	0	0	0	0	0	0	0
Mannitol	1.5	1.5	1.5	1.2	0	0	0
Methionine	1.4	0.8	0.7	0.8	0	0	0
myo-Inositol	0.8	0.8	1	0.8	1.2	1.3	1.6
N-Acetylaspartate	0	0	0	0	0	0	0
N-Acetylcysteine	2.7	0	0	0	0	0	0
N-Acetylglutamate	1.5	0	0	0	0	0	0
N-Acetylglycine	1.1	1.1	1	0.3	0	0	0
N-Carbamoylaspartate	1.1	0.9	1.1	0.7	0	0	0
Nicotinic_ac_adenine_dinuc	0	0	0	0	0	0	0
Nicotinurate	0	0	0	0	0	0	0
N-Phenylacetylphenylalanine	0.2	0.2	0.2	0.2	0	0	0
O-Phosphocholine	0.9	0.9	0.8	0.7	2	2.4	2.6
O-Phosphoethanolamine	0	0	0	0	0	0	0
Ornithine	2.6	1.5	1.6	1.3	0	0	0
Phenylalanine	0.3	0.3	0.3	0.7	0	0	0
Putrescine	0	0	0	0	0	0	0
Pyruvate	1.7	1.1	1.1	1.2	1.3	2.1	1.8
Serine	7.3	4.6	4.4	4.2	7.8	15.1	13.7
sn-Glycero-3-phosphocholine	0.3	0.3	0.3	0.2	0.2	0.6	0.9
Tartrate	0	0	0	0	0	0	0
Taurine	1	1.1	0.6	1	0.7	0.7	0.7
Threonate	0.1	0.1	0.1	0.1	0	0	0
Threonine	2.4	2	1.1	1.6	0	0	0
Tryptophan	0	0	0	0	0	0	0
Tyrosine	0	0	0	0	0	0	0
UDP-galactose	0	0	0	0	0	0	0
UDP-glucose	0.3	0.3	0.7	0.3	0	0	0
Uridine	0	0	0	0	0	0	0
Valine	0.8	0.7	0.6	0.3	0.8	1.4	2.1
NAD+	0	0	0	0	0	0	0
NADH	0	0	0	0	0	0.4	0.4
NADPH	0	0	0	0	0	0.6	0.7
