cell_type	2-Aminoadipate	2-Aminobutyrate	2-Hydroxyglutarate	2-Hydroxyvalerate	2-Oxobutyrate	2-Oxoglutarate	2-Phosphoglycerate	3-Methyl-2-oxovalerate	4-Aminobutyrate	5-Hydroxylysine	Acetamide	Acetate	Adenine	Adenosine	ADP	Alanine	Alloisoleucine	AMP	Anserine	Arginine	Ascorbate	Asparagine	Aspartate	ATP	Butanone	Caprate	Carnitine	Carnosine	Choline	Citrate	Citrulline	Creatine	Creatine-phosphate	Creatinine	Cytidine	Cytosine	Ethanolamine	Fumarate	Glutamate	Glutamine	Glutarate	Glutaric-acid-monomethyl-ester	Glutathione	Glycerol	Glycine	Histidine	Homoserine	I-Methylhistidine	II-Methylhistidine	I-Alanine	Imidazole	Isocitrate	Isoleucine	Lactate	Leucine	Lysine	Malate	Maltose	Mannitol	Methionine	myo-Inositol	N-Acetylaspartate	N-Acetylcysteine	N-Acetylglutamate	N-Acetylglycine	N-Carbamoylaspartate	Nicotinic_ac_adenine_dinuc	Nicotinurate	N-Phenylacetylphenylalanine	O-Phosphocholine	O-Phosphoethanolamine	Ornithine	Phenylalanine	Putrescine	Pyruvate	Serine	sn-Glycero-3-phosphocholine	Tartrate	Taurine	Threonate	Threonine	Tryptophan	Tyrosine	UDP-galactose	UDP-glucose	Uridine	Valine	NAD+	NADH	NADPH
hNPC_6758	0	0	0	10.1	0	0	0	0	7.2	0	0	13.8	0	0	0	15	0	4.5	0	12.7	0	0	5.6	0	0	0	0	0	2	16.2	0	0	0	0	0	3.1	7.7	0	15.4	3.6	0	0	0	0	7.4	2	5.9	0	0	0	0	0	6.2	12.9	16.4	22.8	10.9	0	0	9.7	3.6	0	0	0	0	0	0	0	0	13.6	9.5	0	6.1	0	0	15.5	1.5	0	0	0	1.6	0	3.7	0	0	0	10.2	0	0	0
hNPC_6759	0	0	0	11.1	0	0	0	0	3.5	0	0	17.3	0	0	0	15.3	0	3.4	0	14.1	0	0	5.2	0	0	0	0	0	2.1	12.5	0	0	0	0	0	2.3	7.6	0	7.7	0	0	0	0	0	8.2	1.7	9.7	0	0	0	0	0	5.8	10.8	17.8	21.8	5.6	0	0	9.7	2.6	0	0	0	0	0	0	0	0	14	15.7	0	4.7	0	0	17.6	1.1	0	0	0	2.9	0	4.4	0	0	0	11.6	0	0	0
hNPC_6760	0	0	0	12.2	0	0	0	0	4.6	0	0	25.7	0	0	0	20.9	0	2.5	0	19.7	0	0	5.3	0	0	0	0	0	1.9	13.5	0	0	0	0	0	2.6	6.4	0	14.4	5.2	0	0	0	0	9.5	1.6	10	0	0	0	0	0	7.6	14.7	21.9	22.6	5.8	0	0	11.5	3.4	0	0	0	0	0	0	0	0	13.5	16.5	0	7.1	0	0	18.2	1.6	0	0	0	1.5	0	5.8	0	0	0	13.2	0	0	0
hNPC_6761	0	0	0	7.7	0	0	0	0	1	0	0	4.2	0	0	0	2.4	0	3.7	0	2.3	0	0	3.3	0	0	0	0	0	0.9	7.4	0	0	0	0	0	1.9	0.9	0	4.1	2.6	0	0	0	0	3.1	0.7	1.7	0	0	0	0	0	0.6	5.7	4.4	1.7	1	0	0	0.4	1.1	0	0	0	0	0	0	0	0	12	5.1	0	1.2	0	0	3.9	0.7	0	0	0	0.7	0	1.3	0	0	0	1.5	0	0	0
hNPC_6766	0	0	0	5.1	0	0	0	0	2.9	0	0	6.9	0	0	0	4.6	0	2.7	0	3.5	0	0	1.4	0	0	0	0	0	0.8	5.2	0	0	0	0	0	1.1	2.2	0	4.5	1.3	0	0	0	0	3.9	0.7	1.9	0	0	0	0	0	1.7	12.3	5	1.1	0.7	0	0	1.7	0.7	0	0	0	0	0	0	0	0	7.1	3.9	0	2.4	0	0	5.5	0.6	0	0	0	1.8	0	1.4	0	0	0	2.6	0	0	0
hNPC_6769	0	0	0	3.1	0	0	0	0	2.2	0	0	11.5	0	0	0	4.8	0	1.6	0	3.8	0	0	1.2	0	0	0	0	0	0.5	1.8	0	0	0	0	0	0.9	1.2	0	4.1	1.5	0	0	0	0	3.3	0.7	2.8	0	0	0	0	0	1.6	9.6	4.4	3.3	1.3	0	0	1.6	1.2	0	0	0	0	0	0	0	0	4.5	3.1	0	1.7	0	0	5.8	0.4	0	0	0	2	0	1.1	0	0	0	2.4	0	0	0
hNPC_6770	0	0	0	6	0	0	0	0	5	0	0	17.2	0	0	0	26.5	0	1	0	13	0	0	5.2	0	0	0	0	0	2.1	7.5	0	0	0	0	0	2	6.2	0	15.6	2.6	0	0	0	0	13.9	2.6	14.4	0	0	0	0	0	9.4	14.1	24.2	29.3	2.4	0	0	8.4	1.6	0	0	0	0	0	0	0	0	7.3	3.1	0	5.9	0	0	22	2.7	0	0	0	6.1	0	6.1	0	0	0	14.8	0	0	0
hNPC_6771	0	0	0	1.5	0	0	0	0	1.4	0	0	10.8	0	0	0	3.6	0	1.1	0	1.9	0	0	1.3	0	0	0	0	0	0.4	2.1	0	0	0	0	0	0.8	1.4	0	3.5	1.1	0	0	0	0	2.5	0.7	2.2	0	0	0	0	0	1.5	7	4.2	3.3	0.8	0	0	1.1	0.9	0	0	0	0	0	0	0	0	3	1.5	0	1.6	0	0	4.8	0.5	0	0	0	2.5	0	1.1	0	0	0	2.2	0	0	0
Neuron_3930	3.9	3.1	5.6	13.5	0	0.3	22.5	0	3.3	0.9	0	3.2	2.1	0	0	4.2	0	0	1.3	8	3.6	7	3.5	8.4	0	5	0	1.7	0.5	0.5	2.3	1.3	0.1	1.9	0.4	0	22.8	0.1	6.4	0.9	1.3	1	12.9	0	20	0.6	0	0	0.3	3.1	0	3.4	2.3	15.9	4.3	4.5	0	0	2.1	1.6	20.3	0.9	5.8	3.4	2.2	2.1	0.3	0	0	5.1	0	10.8	2.4	0	1.8	12.1	11.4	6	0.4	0	1.1	1.3	3.9	5	1.5	0.2	2.2	1.8	0	0
Neuron_3931	5.4	3.9	5.7	15.8	0	0.2	32.2	0	7.2	9.3	0	3	2	0	0	4.3	0	0	1.7	7.2	2.5	5.6	3	9.1	0	6.9	0	1.4	0.5	0.4	1.6	1.2	1.1	1.9	0.3	0	29.4	0.2	6.7	0.4	1.7	1.1	11.3	0	19.6	0.8	0	0	0.3	4.3	0	4.2	2.1	13	4.7	5.5	0	0	2.8	1.7	21.9	0.6	5.4	3.3	2.2	0.8	0.3	0	0	4.8	0	9.9	2.9	0	1.7	12.3	12.9	6.2	0.5	0	6.5	1.1	4.5	1.7	1.8	0.2	2	1.9	0	0
