5 90
hESC_nmr_UH_x3800.cnx	hESC_nmr_UH_x3801.cnx	hESC_nmr_UH_x3802.cnx	hESC_nmr_UH_x3803.cnx	hESC_nmr_UH_x3804.cnx
2-Aminoadipate	8.2	8.2	8.2	8.2	8.2
2-Aminobutyrate	3.9	3.9	3.9	6.3	3.9
2-Hydroxyglutarate	31.7	31.7	31.7	31.7	31.7
2-Hydroxyvalerate	63.2	59.6	60.3	63.2	56.4
2-Oxobutyrate	0	0	0	0	0
2-Oxoglutarate	1.7	1.7	1.7	1.7	1.7
2-Phosphoglycerate	33.7	33.7	33.7	33.7	33.7
3-Methyl-2-oxovalerate	0	0	0	0	0
4-Aminobutyrate	129.6	143.9	142.8	129.6	138.6
5-Hydroxylysine	46.7	43.1	34.4	32.8	35.8
Acetamide	18.3	18.3	18.3	18.3	16.8
Acetate	6.3	6.3	6.3	6.3	6.8
Adenine	7.5	7.5	7.1	7.5	7.5
Adenosine	0.2	0.2	0.2	0.2	0.2
ADP	11.5	11.4	12.9	12.8	12.5
Alanine	30.6	31.1	30.6	29.8	37.2
Alloisoleucine	0	0	0	0	0
AMP	16.9	18.7	16.7	15.9	18
Anserine	7.8	6.2	7.8	6	6.2
Arginine	10.3	10.3	7.3	5.9	10.3
Ascorbate	2.2	2.2	2.2	2.2	2.2
Asparagine	12.1	12.1	18.1	12.1	12.1
Aspartate	7.2	7.2	7.2	7.2	7.2
ATP	1	1	1.3	1.2	1
Butanone	4.5	4.5	4.5	4.5	4.5
Caprate	4.6	4.6	4.6	4.6	4.6
Carnitine	2.1	2.1	2.1	2.1	2.1
Carnosine	1.2	1.2	1.2	1.2	1.2
Choline	2.8	2.3	2.4	1.7	1.9
Citrate	4.4	4.4	4.4	4.4	4.4
Citrulline	1.6	1.6	1.6	1.6	1.6
Creatine	4.9	4.9	4.9	4.9	4.9
Creatine-phosphate	1.5	1.5	1.5	1.5	1.5
Creatinine	1.4	1.4	1.4	1.4	1.4
Cytidine	0.4	0.4	0.4	0.4	0.4
Cytosine	0	0	0	0	0
Ethanolamine	18.6	16.8	18	17.9	27.1
Fumarate	1.7	1.7	1.7	1.7	1.7
Glutamate	72	89.7	62.4	73.1	83.1
Glutamine	4.9	4.9	4.9	4.9	4.9
Glutarate	6.3	6.3	6.3	5.6	6.3
Glutaric-acid-monomethyl-ester	4.8	5.3	4.8	4.8	5.3
Glutathione	10.2	10.2	10.2	10.2	6.9
Glycerol	0	0	0	0	0
Glycine	24.9	24.9	24.9	24.9	24.9
Histidine	1	1	1	0.7	1
Homoserine	0	0	0	0	0
I-Methylhistidine	0	0	0	0	0
II-Methylhistidine	2.2	2.2	2.2	5.8	2.2
I-Alanine	12.8	12.8	3.4	12.7	6.3
Imidazole	1.1	1.1	1.1	1.1	1.1
Isocitrate	7	7	7	7	7
Isoleucine	7.9	7.9	7.9	7	7.9
Lactate	68.3	68.3	68.3	68.3	68.3
Leucine	21.7	21.7	20.9	19.7	21.7
Lysine	7.4	7.4	7.4	7.4	5.6
Malate	10.9	8.7	10.9	9.4	8.7
Maltose	8.5	2.9	7.7	3.2	8
Mannitol	4.1	3.3	4.1	4.1	1.9
Methionine	5.8	4.4	5.8	4.5	4.4
myo-Inositol	11.4	11.4	8.7	9.8	11.4
N-Acetylaspartate	4.4	4.4	4.4	2.5	4.4
N-Acetylcysteine	9.6	9.6	9.6	9.6	9.6
N-Acetylglutamate	4.7	4.7	4.7	4.7	4.7
N-Acetylglycine	11.8	10.7	11.8	13.2	6
N-Carbamoylaspartate	5.2	5.2	5.2	5.2	5.2
Nicotinic_ac_adenine_dinuc	0.3	0.3	0.3	0.3	0.3
Nicotinurate	4.4	1.4	2.4	4.1	3.2
N-Phenylacetylphenylalanine	5.3	2.4	1.9	5.3	2.4
O-Phosphocholine	37.5	39.9	39.7	34.9	38.9
O-Phosphoethanolamine	18.4	18.4	18.4	18.4	16.5
Ornithine	10.6	10.6	10.6	10.6	13.1
Phenylalanine	5.4	3.3	5.4	5.3	3.3
Putrescine	8.9	7.7	7.3	6.8	7.2
Pyruvate	7.1	7.1	7.1	6.9	7.1
Serine	28.7	28.7	28.7	13.2	28.7
sn-Glycero-3-phosphocholine	2.6	2.6	2.6	2.6	2.9
Tartrate	19.5	18.5	16.1	19.5	16.7
Taurine	2.7	2.7	2.4	2.4	2.7
Threonate	15.9	15.9	15.9	15.9	15.9
Threonine	3.1	3.1	3.1	3.1	3.1
Tryptophan	1.1	1.1	1.9	1.1	3.3
Tyrosine	7.4	4.9	7.3	7.2	4.9
UDP-galactose	2.7	2.7	2.7	2	3.5
UDP-glucose	3.3	3.4	3.3	0.9	2.1
Uridine	2.2	2.2	2.2	2.8	2.2
Valine	9.5	8.8	9.2	8	8.8
NAD+	0	0	0	0	0
NADH	0	0	0	0	0
NADPH	0	0	0	0	0
