6 90
Neuron_nmr_UH_x3930.cnx	Neuron_nmr_UH_x3931.cnx	Neuron_nmr_UH_x3932.cnx	Neuron_nmr_UH_x3933.cnx	Neuron_nmr_UH_x3934.cnx	Neuron_nmr_UH_x3935.cnx
2-Aminoadipate	3.9	5.4	4.5	3.8	3.6	5.4
2-Aminobutyrate	3.1	3.9	2.9	2.4	2.9	3.9
2-Hydroxyglutarate	5.6	5.7	5.7	4.1	1.9	5.7
2-Hydroxyvalerate	13.5	15.8	20.8	15.2	10.7	15.8
2-Oxobutyrate	0	0	0	0	0	0
2-Oxoglutarate	0.3	0.2	0.4	1.1	0.4	0.2
2-Phosphoglycerate	22.5	32.2	30.4	16.8	25.2	33.7
3-Methyl-2-oxovalerate	0	0	0	0	0	0
4-Aminobutyrate	3.3	7.2	4.6	2.2	2.9	3.3
5-Hydroxylysine	0.9	9.3	13	11.4	9.3	9.3
Acetamide	0	0	0	0	0	0
Acetate	3.2	3	3	2.9	2.7	2.8
Adenine	2.1	2	2.8	1.3	1.8	2.7
Adenosine	0	0	0	0	0	0
ADP	0	0	0	0	0	0
Alanine	4.2	4.3	4	4.3	2.5	4.6
Alloisoleucine	0	0	0	0	0	0
AMP	0	0	0	0	0	0
Anserine	1.3	1.7	1.3	1.1	1.3	1.3
Arginine	8	7.2	6.8	4.8	3.1	6.8
Ascorbate	3.6	2.5	2.2	1.5	2.2	2.2
Asparagine	7	5.6	8.2	4.6	6.1	8.2
Aspartate	3.5	3	3.3	1.9	3.3	3.3
ATP	8.4	9.1	9.3	9.6	10.6	9.5
Butanone	0	0	0	0	0	0
Caprate	5	6.9	5.7	6.2	1.9	8.2
Carnitine	0	0	0	0	0	0
Carnosine	1.7	1.4	1.2	1.3	1.3	1.2
Choline	0.5	0.5	0.5	0.4	0.2	0.5
Citrate	0.5	0.4	1	0.5	0.9	1.1
Citrulline	2.3	1.6	1.6	1.6	1.6	1.6
Creatine	1.3	1.2	1	1.5	1	1
Creatine-phosphate	0.1	1.1	0.9	0.1	2.3	0.1
Creatinine	1.9	1.9	2.2	2	2.7	1.9
Cytidine	0.4	0.3	0.4	0.4	0	0.4
Cytosine	0	0	0	0	0	0
Ethanolamine	22.8	29.4	21.5	24.1	23.5	38.3
Fumarate	0.1	0.2	0.3	0.2	0.4	0.2
Glutamate	6.4	6.7	4.7	5.5	3.3	6.2
Glutamine	0.9	0.4	0.6	0.3	0.4	0.4
Glutarate	1.3	1.7	1.6	1.5	1.2	2.4
Glutaric-acid-monomethyl-ester	1	1.1	1.1	1.5	0.6	1.1
Glutathione	12.9	11.3	8.6	9.7	11.4	10.2
Glycerol	0	0	0	0	0	0
Glycine	20	19.6	19.1	21.1	17.1	18.5
Histidine	0.6	0.8	0.5	0.6	0.6	1
Homoserine	0	0	0	0	0	0
I-Methylhistidine	0	0	0	0	0	0
II-Methylhistidine	0.3	0.3	0.5	0.3	0.7	0.3
I-Alanine	3.1	4.3	5.4	2.3	3.8	3.1
Imidazole	0	0	0	0	0	0
Isocitrate	3.4	4.2	7.6	3.8	2.1	7
Isoleucine	2.3	2.1	1.9	2.4	1.1	1.1
Lactate	15.9	13	20.1	19.2	9.2	20.1
Leucine	4.3	4.7	4.8	4.6	3.5	4.3
Lysine	4.5	5.5	5	4.6	2.6	5
Malate	0	0	0	0	0	0
Maltose	0	0	0	0	0	0
Mannitol	2.1	2.8	2.8	1.1	1.9	2.8
Methionine	1.6	1.7	1.3	1.3	1.3	1.3
myo-Inositol	20.3	21.9	20.5	16	18	14.9
N-Acetylaspartate	0.9	0.6	1.2	1.4	0.5	1.4
N-Acetylcysteine	5.8	5.4	6	5.5	6.7	5.5
N-Acetylglutamate	3.4	3.3	4	4.1	0.4	4.7
N-Acetylglycine	2.2	2.2	2.2	1.2	1.7	2.2
N-Carbamoylaspartate	2.1	0.8	0.6	0.8	0	0.8
Nicotinic_ac_adenine_dinuc	0.3	0.3	0.3	0.3	0	0.3
Nicotinurate	0	0	0	0	0	0
N-Phenylacetylphenylalanine	0	0	0	0	0	0
O-Phosphocholine	5.1	4.8	4.3	4.2	3.8	4.1
O-Phosphoethanolamine	0	0	0	0	0	0
Ornithine	10.8	9.9	6.2	7.3	5.1	7.3
Phenylalanine	2.4	2.9	2.7	2.7	2.3	2
Putrescine	0	0	0	0	0	0
Pyruvate	1.8	1.7	0.7	0.9	0.8	1.6
Serine	12.1	12.3	11.2	10.9	8.4	9.6
sn-Glycero-3-phosphocholine	11.4	12.9	12.7	11.9	11	12.3
Tartrate	6	6.2	10.2	7.1	5.9	6.2
Taurine	0.4	0.5	0.2	0.6	1.2	0.6
Threonate	0	0	0	0	0	0
Threonine	1.1	6.5	1.4	3.1	4.3	3.1
Tryptophan	1.3	1.1	1.2	2	1.8	1.1
Tyrosine	3.9	4.5	4.5	3.5	3	4.5
UDP-galactose	5	1.7	2.3	2.2	2	2.7
UDP-glucose	1.5	1.8	2.5	3	3.4	1.9
Uridine	0.2	0.2	0.2	0.2	0.3	0.2
Valine	2.2	2	1.7	2	0.9	2
NAD+	1.8	1.9	1.9	1.9	1.8	2.1
NADH	0	0	0	0	0	0
NADPH	0	0	0	0	0	0
