8 90
hNPC_UH-10072013_NMR_x6758.cnx	hNPC_UH-10072013_NMR_x6759.cnx	hNPC_UH-10072013_NMR_x6760.cnx	hNPC_UH-10072013_NMR_x6761.cnx	hNPC_UH-10072013_NMR_x6766.cnx	hNPC_UH-10072013_NMR_x6769.cnx	hNPC_UH-10072013_NMR_x6770.cnx	hNPC_UH-10072013_NMR_x6771.cnx
2-Aminoadipate	0	0	0	0	0	0	0	0
2-Aminobutyrate	0	0	0	0	0	0	0	0
2-Hydroxyglutarate	0	0	0	0	0	0	0	0
2-Hydroxyvalerate	10.1	11.1	12.2	7.7	5.1	3.1	6	1.5
2-Oxobutyrate	0	0	0	0	0	0	0	0
2-Oxoglutarate	0	0	0	0	0	0	0	0
2-Phosphoglycerate	0	0	0	0	0	0	0	0
3-Methyl-2-oxovalerate	0	0	0	0	0	0	0	0
4-Aminobutyrate	7.2	3.5	4.6	1	2.9	2.2	5	1.4
5-Hydroxylysine	0	0	0	0	0	0	0	0
Acetamide	0	0	0	0	0	0	0	0
Acetate	13.8	17.3	25.7	4.2	6.9	11.5	17.2	10.8
Adenine	0	0	0	0	0	0	0	0
Adenosine	0	0	0	0	0	0	0	0
ADP	0	0	0	0	0	0	0	0
Alanine	15	15.3	20.9	2.4	4.6	4.8	26.5	3.6
Alloisoleucine	0	0	0	0	0	0	0	0
AMP	4.5	3.4	2.5	3.7	2.7	1.6	1	1.1
Anserine	0	0	0	0	0	0	0	0
Arginine	12.7	14.1	19.7	2.3	3.5	3.8	13	1.9
Ascorbate	0	0	0	0	0	0	0	0
Asparagine	0	0	0	0	0	0	0	0
Aspartate	5.6	5.2	5.3	3.3	1.4	1.2	5.2	1.3
ATP	0	0	0	0	0	0	0	0
Butanone	0	0	0	0	0	0	0	0
Caprate	0	0	0	0	0	0	0	0
Carnitine	0	0	0	0	0	0	0	0
Carnosine	0	0	0	0	0	0	0	0
Choline	2	2.1	1.9	0.9	0.8	0.5	2.1	0.4
Citrate	16.2	12.5	13.5	7.4	5.2	1.8	7.5	2.1
Citrulline	0	0	0	0	0	0	0	0
Creatine	0	0	0	0	0	0	0	0
Creatine-phosphate	0	0	0	0	0	0	0	0
Creatinine	0	0	0	0	0	0	0	0
Cytidine	0	0	0	0	0	0	0	0
Cytosine	3.1	2.3	2.6	1.9	1.1	0.9	2	0.8
Ethanolamine	7.7	7.6	6.4	0.9	2.2	1.2	6.2	1.4
Fumarate	0	0	0	0	0	0	0	0
Glutamate	15.4	7.7	14.4	4.1	4.5	4.1	15.6	3.5
Glutamine	3.6	0	5.2	2.6	1.3	1.5	2.6	1.1
Glutarate	0	0	0	0	0	0	0	0
Glutaric-acid-monomethyl-ester	0	0	0	0	0	0	0	0
Glutathione	0	0	0	0	0	0	0	0
Glycerol	0	0	0	0	0	0	0	0
Glycine	7.4	8.2	9.5	3.1	3.9	3.3	13.9	2.5
Histidine	2	1.7	1.6	0.7	0.7	0.7	2.6	0.7
Homoserine	5.9	9.7	10	1.7	1.9	2.8	14.4	2.2
I-Methylhistidine	0	0	0	0	0	0	0	0
II-Methylhistidine	0	0	0	0	0	0	0	0
I-Alanine	0	0	0	0	0	0	0	0
Imidazole	0	0	0	0	0	0	0	0
Isocitrate	0	0	0	0	0	0	0	0
Isoleucine	6.2	5.8	7.6	0.6	1.7	1.6	9.4	1.5
Lactate	12.9	10.8	14.7	5.7	12.3	9.6	14.1	7
Leucine	16.4	17.8	21.9	4.4	5	4.4	24.2	4.2
Lysine	22.8	21.8	22.6	1.7	1.1	3.3	29.3	3.3
Malate	10.9	5.6	5.8	1	0.7	1.3	2.4	0.8
Maltose	0	0	0	0	0	0	0	0
Mannitol	0	0	0	0	0	0	0	0
Methionine	9.7	9.7	11.5	0.4	1.7	1.6	8.4	1.1
myo-Inositol	3.6	2.6	3.4	1.1	0.7	1.2	1.6	0.9
N-Acetylaspartate	0	0	0	0	0	0	0	0
N-Acetylcysteine	0	0	0	0	0	0	0	0
N-Acetylglutamate	0	0	0	0	0	0	0	0
N-Acetylglycine	0	0	0	0	0	0	0	0
N-Carbamoylaspartate	0	0	0	0	0	0	0	0
Nicotinic_ac_adenine_dinuc	0	0	0	0	0	0	0	0
Nicotinurate	0	0	0	0	0	0	0	0
N-Phenylacetylphenylalanine	0	0	0	0	0	0	0	0
O-Phosphocholine	13.6	14	13.5	12	7.1	4.5	7.3	3
O-Phosphoethanolamine	9.5	15.7	16.5	5.1	3.9	3.1	3.1	1.5
Ornithine	0	0	0	0	0	0	0	0
Phenylalanine	6.1	4.7	7.1	1.2	2.4	1.7	5.9	1.6
Putrescine	0	0	0	0	0	0	0	0
Pyruvate	0	0	0	0	0	0	0	0
Serine	15.5	17.6	18.2	3.9	5.5	5.8	22	4.8
sn-Glycero-3-phosphocholine	1.5	1.1	1.6	0.7	0.6	0.4	2.7	0.5
Tartrate	0	0	0	0	0	0	0	0
Taurine	0	0	0	0	0	0	0	0
Threonate	0	0	0	0	0	0	0	0
Threonine	1.6	2.9	1.5	0.7	1.8	2	6.1	2.5
Tryptophan	0	0	0	0	0	0	0	0
Tyrosine	3.7	4.4	5.8	1.3	1.4	1.1	6.1	1.1
UDP-galactose	0	0	0	0	0	0	0	0
UDP-glucose	0	0	0	0	0	0	0	0
Uridine	0	0	0	0	0	0	0	0
Valine	10.2	11.6	13.2	1.5	2.6	2.4	14.8	2.2
NAD+	0	0	0	0	0	0	0	0
NADH	0	0	0	0	0	0	0	0
NADPH	0	0	0	0	0	0	0	0
