14 61
hNPC_UH-10072013_NMR_x6758.cnx	hNPC_UH-10072013_NMR_x6759.cnx	hNPC_UH-10072013_NMR_x6760.cnx	hNPC_UH-10072013_NMR_x6761.cnx	hNPC_UH-10072013_NMR_x6766.cnx	hNPC_UH-10072013_NMR_x6769.cnx	hNPC_UH-10072013_NMR_x6770.cnx	hNPC_UH-10072013_NMR_x6771.cnx	Neuron_nmr_UH_x3930.cnx	Neuron_nmr_UH_x3931.cnx	Neuron_nmr_UH_x3932.cnx	Neuron_nmr_UH_x3933.cnx	Neuron_nmr_UH_x3934.cnx	Neuron_nmr_UH_x3935.cnx
2-Aminoadipate	0	0	0	0	0	0	0	0	3.9	5.4	4.5	3.8	3.6	5.4
2-Aminobutyrate	0	0	0	0	0	0	0	0	3.1	3.9	2.9	2.4	2.9	3.9
2-Hydroxyglutarate	0	0	0	0	0	0	0	0	5.6	5.7	5.7	4.1	1.9	5.7
2-Hydroxyvalerate	10.1	11.1	12.2	7.7	5.1	3.1	6	1.5	13.5	15.8	20.8	15.2	10.7	15.8
2-Oxoglutarate	0	0	0	0	0	0	0	0	0.3	0.2	0.4	1.1	0.4	0.2
2-Phosphoglycerate	0	0	0	0	0	0	0	0	22.5	32.2	30.4	16.8	25.2	33.7
4-Aminobutyrate	7.2	3.5	4.6	1	2.9	2.2	5	1.4	3.3	7.2	4.6	2.2	2.9	3.3
Acetate	13.8	17.3	25.7	4.2	6.9	11.5	17.2	10.8	3.2	3	3	2.9	2.7	2.8
Adenine	0	0	0	0	0	0	0	0	2.1	2	2.8	1.3	1.8	2.7
ADP	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alanine	15	15.3	20.9	2.4	4.6	4.8	26.5	3.6	4.2	4.3	4	4.3	2.5	4.6
AMP	4.5	3.4	2.5	3.7	2.7	1.6	1	1.1	0	0	0	0	0	0
Anserine	0	0	0	0	0	0	0	0	1.3	1.7	1.3	1.1	1.3	1.3
Arginine	12.7	14.1	19.7	2.3	3.5	3.8	13	1.9	8	7.2	6.8	4.8	3.1	6.8
Asparagine	0	0	0	0	0	0	0	0	7	5.6	8.2	4.6	6.1	8.2
Aspartate	5.6	5.2	5.3	3.3	1.4	1.2	5.2	1.3	3.5	3	3.3	1.9	3.3	3.3
ATP	0	0	0	0	0	0	0	0	8.4	9.1	9.3	9.6	10.6	9.5
Butanone	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Choline	2	2.1	1.9	0.9	0.8	0.5	2.1	0.4	0.5	0.5	0.5	0.4	0.2	0.5
Citrate	16.2	12.5	13.5	7.4	5.2	1.8	7.5	2.1	0.5	0.4	1	0.5	0.9	1.1
Creatine	0	0	0	0	0	0	0	0	1.3	1.2	1	1.5	1	1
Creatine-phosphate	0	0	0	0	0	0	0	0	0.1	1.1	0.9	0.1	2.3	0.1
Creatinine	0	0	0	0	0	0	0	0	1.9	1.9	2.2	2	2.7	1.9
Cytosine	3.1	2.3	2.6	1.9	1.1	0.9	2	0.8	0	0	0	0	0	0
Ethanolamine	7.7	7.6	6.4	0.9	2.2	1.2	6.2	1.4	22.8	29.4	21.5	24.1	23.5	38.3
Fumarate	0	0	0	0	0	0	0	0	0.1	0.2	0.3	0.2	0.4	0.2
Glutamate	15.4	7.7	14.4	4.1	4.5	4.1	15.6	3.5	6.4	6.7	4.7	5.5	3.3	6.2
Glutamine	3.6	0	5.2	2.6	1.3	1.5	2.6	1.1	0.9	0.4	0.6	0.3	0.4	0.4
Glutaric-acid-monomethyl-ester	0	0	0	0	0	0	0	0	1	1.1	1.1	1.5	0.6	1.1
Glutathione	0	0	0	0	0	0	0	0	12.9	11.3	8.6	9.7	11.4	10.2
Glycine	7.4	8.2	9.5	3.1	3.9	3.3	13.9	2.5	20	19.6	19.1	21.1	17.1	18.5
Histidine	2	1.7	1.6	0.7	0.7	0.7	2.6	0.7	0.6	0.8	0.5	0.6	0.6	1
Homoserine	5.9	9.7	10	1.7	1.9	2.8	14.4	2.2	0	0	0	0	0	0
Isoleucine	6.2	5.8	7.6	0.6	1.7	1.6	9.4	1.5	2.3	2.1	1.9	2.4	1.1	1.1
Lactate	12.9	10.8	14.7	5.7	12.3	9.6	14.1	7	15.9	13	20.1	19.2	9.2	20.1
Leucine	16.4	17.8	21.9	4.4	5	4.4	24.2	4.2	4.3	4.7	4.8	4.6	3.5	4.3
Lysine	22.8	21.8	22.6	1.7	1.1	3.3	29.3	3.3	4.5	5.5	5	4.6	2.6	5
Malate	10.9	5.6	5.8	1	0.7	1.3	2.4	0.8	0	0	0	0	0	0
Mannitol	0	0	0	0	0	0	0	0	2.1	2.8	2.8	1.1	1.9	2.8
Methionine	9.7	9.7	11.5	0.4	1.7	1.6	8.4	1.1	1.6	1.7	1.3	1.3	1.3	1.3
myo-Inositol	3.6	2.6	3.4	1.1	0.7	1.2	1.6	0.9	20.3	21.9	20.5	16	18	14.9
N-Acetylaspartate	0	0	0	0	0	0	0	0	0.9	0.6	1.2	1.4	0.5	1.4
N-Acetylcysteine	0	0	0	0	0	0	0	0	5.8	5.4	6	5.5	6.7	5.5
N-Acetylglutamate	0	0	0	0	0	0	0	0	3.4	3.3	4	4.1	0.4	4.7
N-Acetylglycine	0	0	0	0	0	0	0	0	2.2	2.2	2.2	1.2	1.7	2.2
N-Carbamoylaspartate	0	0	0	0	0	0	0	0	2.1	0.8	0.6	0.8	0	0.8
N-Phenylacetylphenylalanine	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O-Phosphocholine	13.6	14	13.5	12	7.1	4.5	7.3	3	5.1	4.8	4.3	4.2	3.8	4.1
O-Phosphoethanolamine	9.5	15.7	16.5	5.1	3.9	3.1	3.1	1.5	0	0	0	0	0	0
Ornithine	0	0	0	0	0	0	0	0	10.8	9.9	6.2	7.3	5.1	7.3
Phenylalanine	6.1	4.7	7.1	1.2	2.4	1.7	5.9	1.6	2.4	2.9	2.7	2.7	2.3	2
Pyruvate	0	0	0	0	0	0	0	0	1.8	1.7	0.7	0.9	0.8	1.6
Serine	15.5	17.6	18.2	3.9	5.5	5.8	22	4.8	12.1	12.3	11.2	10.9	8.4	9.6
sn-Glycero-3-phosphocholine	1.5	1.1	1.6	0.7	0.6	0.4	2.7	0.5	11.4	12.9	12.7	11.9	11	12.3
Taurine	0	0	0	0	0	0	0	0	0.4	0.5	0.2	0.6	1.2	0.6
Threonate	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Threonine	1.6	2.9	1.5	0.7	1.8	2	6.1	2.5	1.1	6.5	1.4	3.1	4.3	3.1
Tryptophan	0	0	0	0	0	0	0	0	1.3	1.1	1.2	2	1.8	1.1
