2-Aminoadipate	8.5	8.8	8.2	8.7	8.1	0	0	0	0	0	0	0	0
2-Aminobutyrate	6.6	7.9	7.2	7.3	8.2	0	0	0	0	0	0	0	0
3-Aminoisobutyrate	0	0	0	0	0	7.5	6.7	7.1	4.9	2.3	1.9	2.9	2.5
4-Aminobutyrate	131.2	142.8	139.3	133.7	136.7	7.2	3.5	4.6	1	2.9	2.2	5	1.4
Alanine	29.9	30.5	30.3	29.2	30.6	15	15.3	20.9	2.4	4.6	4.8	26.5	3.6
Anserine	5.2	3.3	7	6	6.2	0	0	0	0	0	0	0	0
Arginine	5	7	7.3	5.4	7.3	12.7	14.1	19.7	2.3	3.5	3.8	13	1.9
Asparagine	19.7	17.1	22.2	16.2	17.8	0	0	0	0	0	0	0	0
Aspartate	9.6	15.8	11.1	14.6	14.5	5.6	5.2	5.3	3.3	1.4	1.2	5.2	1.3
Beta-Alanine	5.2	4.5	7.2	5.1	3.2	0	0	0	0	0	0	0	0
Betaine	0	0	0	0	0	1.9	1.2	0.8	0.2	0.6	0.6	2.7	0.5
Creatine	5.8	5.5	4.9	4.7	6.1	0	0	0	0	0	0	0	0
Creatine-phosphate	3	3.4	3.2	2.2	4.1	0	0	0	0	0	0	0	0
Creatinine	2	2.3	1.4	1.4	1.8	0	0	0	0	0	0	0	0
Glutamate	81.7	90	91.6	84.8	81.5	15.4	7.7	14.4	4.1	4.5	4.1	15.6	3.5
Glutamine	6.2	7.3	6	5.3	10.1	3.6	0	5.2	2.6	1.3	1.5	2.6	1.1
Glutathione	16.2	32.6	14.6	19.9	32.8	0	0	0	0	0	0	0	0
Glycine	25.4	25.8	25.4	25.2	24.4	7.4	8.2	9.5	3.1	3.9	3.3	13.9	2.5
Histidine	2.4	3.1	2.5	2.9	1.9	2	1.7	1.6	0.7	0.7	0.7	2.6	0.7
Homocysteine	0	0	0	0	0	7.5	3	1.9	1.1	0.7	0.9	7.5	1.4
Homoserine	0	0	0	0	0	5.9	9.7	10	1.7	1.9	2.8	14.4	2.2
Isoleucine	7.5	7.2	7.7	7.2	8	6.2	5.8	7.6	0.6	1.7	1.6	9.4	1.5
Leucine	19.6	19.3	19.6	18.3	21	16.4	17.8	21.9	4.4	5	4.4	24.2	4.2
Lysine	7.4	6.1	8.5	7.4	5.6	22.8	21.8	22.6	1.7	1.1	3.3	29.3	3.3
Methionine	3.8	3.4	3.1	3.6	3.8	9.7	9.7	11.5	0.4	1.7	1.6	8.4	1.1
N-Acetylaspartate	4.8	4.4	3.4	2.5	5	0	0	0	0	0	0	0	0
N-Acetylcysteine	11.3	9.6	13.8	9.6	6.9	0	0	0	0	0	0	0	0
N-Acetylglutamate	11.8	13.2	11.7	12.5	4.4	0	0	0	0	0	0	0	0
N-Acetylglycine	11.8	13.9	15.4	13.8	14	0	0	0	0	0	0	0	0
N-Carbamoylaspartate	5.2	5.7	5.2	5.5	5.6	0	0	0	0	0	0	0	0
N-Phenylacetylphenylalanine	5.1	3.9	5.6	5.3	2.4	0	0	0	0	0	0	0	0
Ornithine	11.1	13.9	13.6	10.6	14.2	0	0	0	0	0	0	0	0
Phenylalanine	3.7	4.4	5.8	5.6	5.3	6.1	4.7	7.1	1.2	2.4	1.7	5.9	1.6
Proline	0	0	0	0	0	3.9	9.2	13.7	2.6	1.8	2.6	12.4	1.5
Taurine	2.6	3.7	2.4	2.4	4.2	0	0	0	0	0	0	0	0
Tryptophan	1.3	1.1	1.9	2.1	2.1	0	0	0	0	0	0	0	0
Tyrosine	7.3	5.4	7.4	7.3	6.7	3.7	4.4	5.8	1.3	1.4	1.1	6.1	1.1
Valine	8.5	7.8	8.4	7.7	8.4	10.2	11.6	13.2	1.5	2.6	2.4	14.8	2.2
2-Phosphoglycerate	47.2	49.9	50.1	41.1	48.7	0	0	0	0	0	0	0	0
Glucose	12.1	12.2	14.1	10.7	12.7	0	0	0	0	0	0	0	0
Lactate	65.1	69.3	68.1	68.5	69.8	12.9	10.8	14.7	5.7	12.3	9.6	14.1	7
Pyruvate	6.4	6.1	5.4	6.4	8	0	0	0	0	0	0	0	0
Serine	51.4	61	61.1	54.3	59	15.5	17.6	18.2	3.9	5.5	5.8	22	4.8
Threonate	17.5	15.4	15.3	17.7	21.3	0	0	0	0	0	0	0	0
Threonine	7	4.4	4.3	3.1	3.1	1.6	2.9	1.5	0.7	1.8	2	6.1	2.5
2-Hydroxy-3-methylvalerate	0	0	0	0	0	13.8	15.4	14.2	8.6	4.8	3.5	11.7	3
2-Hydroxyglutarate	41.4	45.1	48.2	42.2	40.7	0	0	0	0	0	0	0	0
2-Hydroxyvalerate	0	0	0	0	0	10.1	11.1	12.2	7.7	5.1	3.1	6	1.5
3-methylglutarate	0	0	0	0	0	9.7	2.3	7.8	2.8	0.7	2	5.2	1.4
Acetate	10.1	9	9.3	10.1	9	13.8	17.3	25.7	4.2	6.9	11.5	17.2	10.8
Butanone	5.4	3.5	4.5	4.4	4.5	0	0	0	0	0	0	0	0
Choline	1.9	2.1	2.4	1.8	1.9	2	2.1	1.9	0.9	0.8	0.5	2.1	0.4
Ethanolamine	19.2	17.3	20.6	18.8	17.1	7.7	7.6	6.4	0.9	2.2	1.2	6.2	1.4
Ethylmalonate	0	0	0	0	0	2.9	2.3	8	1.7	3	1.1	5.8	1
Glutaric-acid-monomethyl-ester	8.3	7.1	4.8	4.8	6.5	0	0	0	0	0	0	0	0
Mannitol	4.1	3.3	3.5	2.7	2	0	0	0	0	0	0	0	0
myo-Inositol	13.1	15.1	16.2	11.6	12.9	3.6	2.6	3.4	1.1	0.7	1.2	1.6	0.9
O-Phosphocholine	41	42.9	42.5	42.9	42.4	13.6	14	13.5	12	7.1	4.5	7.3	3
O-Phosphoethanolamine	0	0	0	0	0	9.5	15.7	16.5	5.1	3.9	3.1	3.1	1.5
sn-Glycero-3-phosphocholine	2.4	4	3.7	3.2	4.6	1.5	1.1	1.6	0.7	0.6	0.4	2.7	0.5
Adenine	8.8	12.1	9.3	10.6	8.3	0	0	0	0	0	0	0	0
ADP	8.3	10.4	12.3	11.4	12.7	0	0	0	0	0	0	0	0
AMP	19.1	20	17.4	17.8	19.7	4.5	3.4	2.5	3.7	2.7	1.6	1	1.1
ATP	1	0.5	1.3	1.5	0.7	0	0	0	0	0	0	0	0
Cytosine	0	0	0	0	0	3.1	2.3	2.6	1.9	1.1	0.9	2	0.8
2-Hydroxybutyrate	0	0	0	0	0	9.1	9.6	9.6	4.4	2.2	2	6	1.5
3-Hydroxyisovalerate	6	5.5	5.7	5.6	5.3	1.1	0.8	0.9	0.3	0.5	0.4	1	0.3
Acetone	0	0	0	0	0	1.3	1.3	1.1	0.7	1.4	2.2	0.9	1.9
Malonate	0	0	0	0	0	8.6	7.7	6.6	1.3	1.6	0.5	2.6	0.2
2-Oxoglutarate	2.5	1.7	2.4	2.2	3.4	0	0	0	0	0	0	0	0
Citrate	3.9	1.5	4.7	3.4	3.6	16.2	12.5	13.5	7.4	5.2	1.8	7.5	2.1
Fumarate	1.7	1.4	1.8	1.7	1.9	0	0	0	0	0	0	0	0
Isocitrate	6.1	4.9	7.8	7	6.5	0	0	0	0	0	0	0	0
Malate	9	10.6	11.3	11	10	10.9	5.6	5.8	1	0.7	1.3	2.4	0.8
Succinate	0	0	0	0	0	0.3	0.6	0.5	0	0.4	0.3	0.9	0.3
