2-Hydroxy-3-methylvalerate	0	0	0	0	0	13.8	15.4	14.2	8.6	4.8	3.5	11.7	3
2-Hydroxyglutarate	41.4	45.1	48.2	42.2	40.7	0	0	0	0	0	0	0	0
2-Hydroxyvalerate	0	0	0	0	0	10.1	11.1	12.2	7.7	5.1	3.1	6	1.5
3-methylglutarate	0	0	0	0	0	9.7	2.3	7.8	2.8	0.7	2	5.2	1.4
Acetate	10.1	9	9.3	10.1	9	13.8	17.3	25.7	4.2	6.9	11.5	17.2	10.8
Butanone	5.4	3.5	4.5	4.4	4.5	0	0	0	0	0	0	0	0
Ethylmalonate	0	0	0	0	0	2.9	2.3	8	1.7	3	1.1	5.8	1
Glutaric-acid-monomethyl-ester	8.3	7.1	4.8	4.8	6.5	0	0	0	0	0	0	0	0
Mannitol	4.1	3.3	3.5	2.7	2	0	0	0	0	0	0	0	0
myo-Inositol	13.1	15.1	16.2	11.6	12.9	3.6	2.6	3.4	1.1	0.7	1.2	1.6	0.9
