3 90
Rosette_nmr_UH_x3748.cnx	Rosette_nmr_UH_x3750.cnx	Rosette_nmr_UH_x3751.cnx
2-Aminoadipate	0	0	0
2-Aminobutyrate	0	0	0
2-Hydroxyglutarate	0	0	0
2-Hydroxyvalerate	0	0	0
2-Oxobutyrate	0.5	1.2	1.5
2-Oxoglutarate	0	0	0
2-Phosphoglycerate	0	0	0
3-Methyl-2-oxovalerate	0.6	0.9	0.9
4-Aminobutyrate	2.7	4.9	5.4
5-Hydroxylysine	9.7	12.3	17.8
Acetamide	0	0	0
Acetate	0.7	1	1.2
Adenine	0	0	0
Adenosine	0	0	0
ADP	2	2	1.7
Alanine	1.5	3.4	4.4
Alloisoleucine	1.5	1.3	1.3
AMP	0.7	1	1.4
Anserine	0	0	0
Arginine	1	1.9	0.4
Ascorbate	0	0	0
Asparagine	0	0	0
Aspartate	0	0	0
ATP	0.5	0.4	0.4
Butanone	0	0	0
Caprate	0	0	0
Carnitine	0.2	0.5	0.5
Carnosine	0	0	0
Choline	0.7	1.4	1.7
Citrate	0.9	1	0.8
Citrulline	0	0	0
Creatine	0	0	0
Creatine-phosphate	0	0	0
Creatinine	0	0	0
Cytidine	0	0	0
Cytosine	1.2	1.7	2.1
Ethanolamine	0	0	0
Fumarate	0	0	0
Glutamate	3.8	5	8.1
Glutamine	1.5	1.5	1.5
Glutarate	0	0	0
Glutaric-acid-monomethyl-ester	0	0	0
Glutathione	0	0	0
Glycerol	9.3	8.5	8.5
Glycine	1.5	1.5	1.5
Histidine	0	0	0
Homoserine	2.6	3.3	2.8
I-Methylhistidine	0	1.2	1
II-Methylhistidine	0	0	0
I-Alanine	0	0	0
Imidazole	0	0	0
Isocitrate	1.7	1.7	1.2
Isoleucine	1	2.3	2.6
Lactate	4.2	10.1	11.2
Leucine	2	5.4	5.8
Lysine	2.3	4.9	5.9
Malate	0	0	0
Maltose	0	0	0
Mannitol	0	0	0
Methionine	0	0	0
myo-Inositol	1.2	1.3	1.6
N-Acetylaspartate	0	0	0
N-Acetylcysteine	0	0	0
N-Acetylglutamate	0	0	0
N-Acetylglycine	0	0	0
N-Carbamoylaspartate	0	0	0
Nicotinic_ac_adenine_dinuc	0	0	0
Nicotinurate	0	0	0
N-Phenylacetylphenylalanine	0	0	0
O-Phosphocholine	2	2.4	2.6
O-Phosphoethanolamine	0	0	0
Ornithine	0	0	0
Phenylalanine	0	0	0
Putrescine	0	0	0
Pyruvate	1.3	2.1	1.8
Serine	7.8	15.1	13.7
sn-Glycero-3-phosphocholine	0.2	0.6	0.9
Tartrate	0	0	0
Taurine	0.7	0.7	0.7
Threonate	0	0	0
Threonine	0	0	0
Tryptophan	0	0	0
Tyrosine	0	0	0
UDP-galactose	0	0	0
UDP-glucose	0	0	0
Uridine	0	0	0
Valine	0.8	1.4	2.1
NAD+	0	0	0
NADH	0	0.4	0.4
NADPH	0	0.6	0.7
